id,hospital_name,site_name,lat,lon,street,house_number,postcode,city,cc,country,emergency,cap_beds,cap_prac,cap_rooms,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date,geo_qual
0,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.",ARS Lisboa e Vale do Tejo,38.7903,-9.35091,R. das Eiras 34,,2725-079,Algueirão-Mem Martins,PT,Portugal,yes,,,,Urgência Adultos,,Serviço de Urgência Básica,214345540,,,01/12/19,29/03/2020,-1
1,Grupo | Serviços de Urgência Básica | ARSC,ARS Centro,40.2164,-8.05451,"Rua Condessa das Canas, 18",,3300-036,Arganil,PT,Portugal,yes,,,,Urgência Adultos,,Serviço de Urgência Básica,235200100,,,01/12/19,29/03/2020,-1
2,Grupo | Serviços de Urgência Básica | ARSN,ARS Norte,40.93003,-8.254658,Rua Dr. Ângelo Miranda,,4540-140,Arouca,PT,Portugal,yes,,,,Urgência Adultos,,Serviço de Urgência Básica,256940340,,,01/12/19,29/03/2020,-1
3,Grupo | Serviços de Urgência Básica | ARSN,ARS Norte,40.93003,-8.254658,Rua Dr. Ângelo Miranda,,4540-140,Arouca,PT,Portugal,yes,,,,Urgência Crianças e Adolescentes,,Serviço de Urgência Básica,256940340,,,01/12/19,29/03/2020,-1
4,Grupo | Serviços de Urgência Básica | ARSALE,ARS Alentejo,38.8454,-7.58347,Av. 9 de Abril,,7100-500,Estremoz,PT,Portugal,yes,,,,Urgência Crianças e Adolescentes,,Serviço de Urgência Básica,268337700,,,01/12/19,29/03/2020,-1
5,"Centro Hospitalar do Nordeste - ULS do Nordeste, E.P.E.",ARS Norte,41.535023,-6.96049,Rua Dr. Urze Pires,,5340-263,Macedo de Cavaleiros,PT,Portugal,yes,,,,Sala de Observações com Camas - Adultos,,Serviço de Urgência Básica,278428200,,,01/12/19,29/03/2020,-1
6,"Centro Hospitalar Alto Minho - ULS Alto Minho, E.P.E.",ARS Norte,42.0691,-8.48619,Lugar de Barreiras - Mazedo,,4950-404,Monção,PT,Portugal,yes,,,,Urgência Adultos,,Serviço de Urgência Básica,251653920,,,01/12/19,29/03/2020,-1
7,"Centro Hospitalar Alto Minho - ULS Alto Minho, E.P.E.",ARS Norte,42.0691,-8.48619,Lugar de Barreiras - Mazedo,,4950-404,Monção,PT,Portugal,yes,,,,Urgência Crianças e Adolescentes,,Serviço de Urgência Básica,251653920,,,01/12/19,29/03/2020,-1
8,Grupo | Serviços de Urgência Básica | ARSN,ARS Norte,41.8309,-7.78268,"Rua Lama do Moinho, 400",,5470-225,Montalegre,PT,Portugal,yes,,,,Sala de Observações com Camas - Adultos,,Serviço de Urgência Básica,276510180,,,01/12/19,29/03/2020,-1
9,"Hospital José Joaquim Fernandes - Beja - ULS Baixo Alentejo, E.P.E.",ARS Alentejo,38.137676,-7.452462,Rua dos Açores s/n,,7860-222,Moura,PT,Portugal,yes,,,,Urgência Adultos,,Serviço de Urgência Básica,285254900,,,01/12/19,29/03/2020,-1
10,"Hospital do Litoral Alentejano - Santiago do Cacém - ULS Litoral Alentejano, E.P.E.",ARS Alentejo,37.601196,-8.644773,Vale Pêgas de Baixo,,7630-236,Odemira,PT,Portugal,yes,,,,Urgência Crianças e Adolescentes,,Serviço de Urgência Básica,283320130,,,01/12/19,29/03/2020,-1
11,"Hospitais da ULS do Norte Alentejano, E.P.E.",ARS Alentejo,39.1591,-8.26399,Passeio Garibaldino de Andrade n.º 1,,7400-294,Ponte de Sor,PT,Portugal,yes,,,,Urgência Adultos,,Serviço de Urgência Básica,242292000,,,01/12/19,29/03/2020,-1
12,"Centro Hospitalar de Leiria, E.P.E.",ARS Centro,39.550602,-8.972319,Rua do Hospital - Apartado 70,,2460-051,Alcobaça,PT,Portugal,yes,,,,Urgência Crianças e Adolescentes,,Serviço de Urgência Básica,262590400,,,01/12/19,29/03/2020,-1
13,"Centro Hospitalar de Leiria, E.P.E.",ARS Centro,39.9169,-8.62476,Av. Heróis do Ultramar - Apartado 40,,3100-462,Pombal,PT,Portugal,yes,,,,Urgência Adultos,,Serviço de Urgência Básica,236210000,,,01/12/19,29/03/2020,-1
14,"Hospital de Santa Maria Maior, E.P.E.",ARS Norte,41.53344,-8.616604,"Campo da República, Apartado 181",,4754-909,Barcelos,PT,Portugal,yes,,,,Urgência Adultos,,Serviço de Urgência Básica,253809200,,,01/12/19,29/03/2020,-1
15,"Hospital de Santa Maria Maior, E.P.E.",ARS Norte,41.53344,-8.616604,"Campo da República, Apartado 181",,4754-909,Barcelos,PT,Portugal,yes,,,,Cirurgia Geral,,Serviço de Urgência Básica,253809200,,,01/12/19,29/03/2020,-1
16,"Centro Hospitalar Médio Tejo, E.P.E.",ARS Lisboa e Vale do Tejo,39.605564,-8.404399,"Av. Maria de Lourdes de Mello e Castro, Apartado 118",,2304-909,Tomar,PT,Portugal,yes,,,,Urgência Adultos,,Serviço de Urgência Básica,249320100,,,01/12/19,29/03/2020,-1
17,"Centro Hospitalar de Entre o Douro e Vouga, E.P.E.",ARS Norte,40.8416,-8.47159,Largo Rizzo Terra,,3720-275,Oliveira de Azeméis,PT,Portugal,yes,,,,Urgência Crianças e Adolescentes,,Serviço de Urgência Básica,256600800,,,01/12/19,29/03/2020,-1
18,"Hospital da Senhora da Oliveira - Guimarães, E.P.E.",ARS Norte,41.44217,-8.305244,"Rua dos Cutileiros, Creixomil",,4835-044,Guimarães,PT,Portugal,yes,,,,Urgência Adultos,,Serviço de Urgência Médico-Cirúrgico,253540340,,,01/12/19,29/03/2020,-1
19,"Hospital da Senhora da Oliveira - Guimarães, E.P.E.",ARS Norte,41.44217,-8.305244,"Rua dos Cutileiros, Creixomil",,4835-044,Guimarães,PT,Portugal,yes,,,,Urgência Crianças e Adolescentes,,Serviço de Urgência Médico-Cirúrgico,253540340,,,01/12/19,29/03/2020,-1
20,"Hospital da Senhora da Oliveira - Guimarães, E.P.E.",ARS Norte,41.44217,-8.305244,"Rua dos Cutileiros, Creixomil",,4835-044,Guimarães,PT,Portugal,yes,,,,Anestesiologia,,Serviço de Urgência Médico-Cirúrgico,253540340,,,01/12/19,29/03/2020,-1
21,"Hospital da Senhora da Oliveira - Guimarães, E.P.E.",ARS Norte,41.44217,-8.305244,"Rua dos Cutileiros, Creixomil",,4835-044,Guimarães,PT,Portugal,yes,,,,Cardiologia,,Serviço de Urgência Médico-Cirúrgico,253540340,,,01/12/19,29/03/2020,-1
22,"Hospital da Senhora da Oliveira - Guimarães, E.P.E.",ARS Norte,41.44217,-8.305244,"Rua dos Cutileiros, Creixomil",,4835-044,Guimarães,PT,Portugal,yes,,,,Unidade de Cuidados Intensivos - Coronários,,Serviço de Urgência Médico-Cirúrgico,253540340,,,01/12/19,29/03/2020,-1
23,"Centro Hospitalar do Médio Ave, E.P.E.",ARS Norte,41.4123,-8.52095,Rua de Cupertino de Miranda,,4764-958,Vila Nova de Famalicão,PT,Portugal,yes,,,,Urgência Crianças e Adolescentes,,Serviço de Urgência Médico-Cirúrgico,252300800,,,01/12/19,29/03/2020,-1
24,"Centro Hospitalar do Médio Ave, E.P.E.",ARS Norte,41.4123,-8.52095,Rua de Cupertino de Miranda,,4764-958,Vila Nova de Famalicão,PT,Portugal,yes,,,,Pediatria,,Serviço de Urgência Médico-Cirúrgico,252300800,,,01/12/19,29/03/2020,-1
25,"Centro Hospitalar do Médio Ave, E.P.E.",ARS Norte,41.4123,-8.52095,Rua de Cupertino de Miranda,,4764-958,Vila Nova de Famalicão,PT,Portugal,yes,,,,Cirurgia Geral,,Serviço de Urgência Médico-Cirúrgico,252300800,,,01/12/19,29/03/2020,-1
26,"Centro Hospitalar do Médio Ave, E.P.E.",ARS Norte,41.4123,-8.52095,Rua de Cupertino de Miranda,,4764-958,Vila Nova de Famalicão,PT,Portugal,yes,,,,Imunohemoterapia,,Serviço de Urgência Médico-Cirúrgico,252300800,,,01/12/19,29/03/2020,-1
27,"Centro Hospitalar do Médio Ave, E.P.E.",ARS Norte,41.4123,-8.52095,Rua de Cupertino de Miranda,,4764-958,Vila Nova de Famalicão,PT,Portugal,yes,,,,Obstetrícia,,Serviço de Urgência Médico-Cirúrgico,252300800,,,01/12/19,29/03/2020,-1
28,"Centro Hospitalar do Nordeste - ULS do Nordeste, E.P.E.",ARS Norte,41.802452,-6.768198,Av. Abade Baçal,,5301-852,Bragança,PT,Portugal,yes,,,,Urgência Adultos,,Serviço de Urgência Médico-Cirúrgico,273310800,,,01/12/19,29/03/2020,-1
29,"Centro Hospitalar do Nordeste - ULS do Nordeste, E.P.E.",ARS Norte,41.802452,-6.768198,Av. Abade Baçal,,5301-852,Bragança,PT,Portugal,yes,,,,Urgência Crianças e Adolescentes,,Serviço de Urgência Médico-Cirúrgico,273310800,,,01/12/19,29/03/2020,-1
30,"Centro Hospitalar do Nordeste - ULS do Nordeste, E.P.E.",ARS Norte,41.802452,-6.768198,Av. Abade Baçal,,5301-852,Bragança,PT,Portugal,yes,,,,Ortopedia,,Serviço de Urgência Médico-Cirúrgico,273310800,,,01/12/19,29/03/2020,-1
