id,hospital_name,site_name,lat,lon,geo_qual,street,house_number,postcode,city,cc,country,cap_beds,cap_prac,cap_rooms,emergency,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date
16,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,,45.930445939980565,13.640669219046382,1,ULICA PADLIH BORCEV,13A,5290,ŠEMPETER PRI GORICI,SI,Slovenia,,,,,General hospital,public,,,,,06/03/2020,08/04/2020
128,SPLOŠNA BOLNIŠNICA BREŽICE,,45.90849,15.59355,1,ČERNELČEVA CESTA,15,8250,BREŽICE,SI,Slovenia,,,,,General hospital,public,,,,,06/03/2020,08/04/2020
374,SPLOŠNA BOLNIŠNICA NOVO MESTO,,45.79992,15.16383,1,ŠMIHELSKA CESTA,1,8000,NOVO MESTO,SI,Slovenia,,,,,General hospital,public,,,,,06/03/2020,08/04/2020
2727,SPLOŠNA BOLNIŠNICA CELJE,,46.23463,15.26257,1,OBLAKOVA ULICA,5,3000,CELJE,SI,Slovenia,,,,,General hospital,public,,,,,06/03/2020,08/04/2020
3751,BOLNIŠNICA ZA ŽENSKE BOLEZNI IN PORODNIŠTVO POSTOJNA,,45.77147,14.2102,1,PREČNA ULICA,4,6230,POSTOJNA,SI,Slovenia,,,,,Special hospital,public,,,,,06/03/2020,08/04/2020
3771,BOLNIŠNICA SEŽANA,,45.7090746952675,13.866769882832266,1,CANKARJEVA ULICA,4,6210,SEŽANA,SI,Slovenia,,,,,Special hospital,public,,,,,06/03/2020,08/04/2020
3791,ORTOPEDSKA BOLNIŠNICA VALDOLTRA OSPEDALE ORTOPEDICO VALDOLTRA,,45.58166,13.72748,1,JADRANSKA CESTA,31,6280,ANKARAN - ANCARANO,SI,Slovenia,,,,,Special hospital,public,,,,,06/03/2020,08/04/2020
3821,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,,45.54442,13.6871,1,POLJE,40,6310,IZOLA - ISOLA,SI,Slovenia,,,,,General hospital,public,,,,,06/03/2020,08/04/2020
4031,BOLNIŠNICA ZA GINEKOLOGIJO IN PORODNIŠTVO KRANJ,,46.24857,14.35401,1,KIDRIČEVA CESTA,38A,4000,KRANJ,SI,Slovenia,,,,,Special hospital,public,,,,,06/03/2020,08/04/2020
4071,SPLOŠNA BOLNIŠNICA JESENICE,,46.443,14.03697,1,CESTA MARŠALA TITA,112,4270,JESENICE,SI,Slovenia,,,,,General hospital,public,,,,,06/03/2020,08/04/2020
