id,hospital_name,site_name,lat,lon,geo_qual,street,house_number,postcode,city,cc,country,cap_beds,cap_prac,cap_rooms,emergency,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date,comments
1,IV MPHAN EAD,,42.6933579,23.3112609,1,BUL.MACEDONIA,36,,SOFIA,BG,Bulgaria,74,,,,,,,,,,01/01/12,16/04/2020,
2,VMA MPHAL VARNA,,43.228078,27.926265,1,UL.HRWTO SMIRNENSKI,3,,VARNA,BG,Bulgaria,,,,,,,,,,,01/01/12,16/04/2020,
3,VMA MPHAL PLEVEN,,43.4163201,24.6282681,1,UL.GEORGI KOCHEV,6,,PLEVEN,BG,Bulgaria,,,,,,,,,,,01/01/12,16/04/2020,
4,PLOVDIV PLOVDIV,,42.1370563,24.7564442,1,BUL.HYRWTO-BOTEV,81,,PLOVDIV,BG,Bulgaria,,,,,,,,,,,01/01/12,16/04/2020,
5,VMA MPHAL SLIVEN,,42.676222,26.335872,1,UL.PUSHKIN,2,,GR. SLIVEN,BG,Bulgaria,,,,,,,,,,,01/01/12,16/04/2020,
6,VMA MPHAL SOFIA,,42.6839181,23.3036971,1,"ECHA,  SOFIA",3,,SOFIA,BG,Bulgaria,1415,,,,,,,,,,01/01/12,16/04/2020,
7,VMA SBRL BANKYA,,42.7076129,23.1477422,1,GR. BANKYA,,,BANKYA,BG,Bulgaria,,,,,,,,,,,01/01/12,16/04/2020,
8,VMA SGDLDKHESSAR HISAR,,42.5042948,24.7141269,1,UL.ILIN PEACOCK-BREAK,1,,HISARYA,BG,Bulgaria,,,,,,,,,,,01/01/12,16/04/2020,
9,THE SOFIA CITY PROSECUTOR’S OFFICE,,42.564272,27.6384653,1,MR GRO.POMORER,,,POMORIE,BG,Bulgaria,,,,,,,,,,,01/01/12,16/04/2020,
10,SECOND SOFIA EAD,,42.7060131,23.3185351,1,BUL.HYRWTO-BOTEV,120,,SOFIA,BG,Bulgaria,230,,,,,,,,,,01/01/12,16/04/2020,
11,SECOND SAGGAL SHEYANOVO EAD,,42.6925497,23.3399981,1,UL.XEYCEQS,19,,SOFIA,BG,Bulgaria,174,,,,,,,,,,01/01/12,16/04/2020,
12,BPB WHITE,,43.4667652,25.7211185,1,PL,3,,WHITE,BG,Bulgaria,290,,,,,,,,,,01/01/12,16/04/2020,
13,MAD D-Q:,,42.2860244,25.9228635,1,UL.MAY PETROVA,1,,RADNEVO,BG,Bulgaria,510,,,,,,,,,,01/01/12,16/04/2020,
14,PBDP CARION,,43.4731189,28.0214775,1,SG,,,CARICOM,BG,Bulgaria,90,,,,,,,,,,01/01/12,16/04/2020,
15,GDPB,,43.1807715,24.0669036,1,RAILWAY STATION,,,MR CARLUCEQES,BG,Bulgaria,215,,,,,,,,,,01/01/12,16/04/2020,
