id,hospital_name,site_name,lat,lon,street,house_number,postcode,city,cc,country,emergency,cap_beds,cap_prac,cap_rooms,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date,geo_qual
K101,Rehabilitationszentrum für Herz-Kreislauferkrankungen Bad Tatzmannsdorf,,47.331527108287254,16.22262893566035,Vogelsangweg,11,7431,Bad Tatzmannsdorf,AT,Austria,,169,,,,,,03353 6000 0,,http://www.ska-badtatzmannsdorf.at,01/01/20,28/03/2020,
K102,Krankenhaus der Barmherzigen Brüder Eisenstadt,,47.84727,16.51378,Johannes von Gott-Platz,1,7000,Eisenstadt,AT,Austria,,420,,,,,"AN, IM, KIJU",02682 601 0,,http://www.barmherzige-brueder.at,01/01/20,28/03/2020,
K104,Landeskrankenhaus Güssing,,47.049762,16.3212708,Grazer Straße,13,7540,Güssing,AT,Austria,,118,,,,,"AN, IM",05 7979 31000,,http://www.krages.at,01/01/20,28/03/2020,
K105,Ladislaus Batthyany-Strattmann Krankenhaus Kittsee,,48.09289,17.06505,Hauptplatz,3,2421,Kittsee,AT,Austria,,111,,,,,"AN, IM",05 7979 35000,,http://www.krages.at,01/01/20,28/03/2020,
K106,Landeskrankenhaus Oberpullendorf,,47.50727,16.50939,Spitalstraße,32,7350,Oberpullendorf,AT,Austria,,138,,,,,"AN, IM",05 7979 34000,,http://www.krages.at,01/01/20,28/03/2020,
K107,Landeskrankenhaus Oberwart,,47.27995,16.20347,Dornburggasse,80,7400,Oberwart,AT,Austria,,338,,,,,"AN, IM, KIJU",05 7979 32000,,http://www.krages.at,01/01/20,28/03/2020,
K109,Orthopädisches Klinikum SKA Zicksee,,47.79147,16.9144,Otto-Pohanka-Platz,,7161,St. Andrä am Zicksee,AT,Austria,,140,,,,,,02176 2325,,http://www.kobvskazicksee.at,01/01/20,28/03/2020,
K111,Heilpädagogisches Zentrum Rust,,47.8016,16.66597,Baumgartenstraße,15a,7071,Rust,AT,Austria,,12,,,,,,05 7979 21000,,http://www.psd-bgld.at,01/01/20,28/03/2020,
K112,Therapiezentrum Rosalienhof -  Bad Tatzmannsdorf,,47.33702,16.22791,Am Kurpark,1,7431,Bad Tatzmannsdorf,AT,Austria,,105,,,,,,03353 8387 0,,http://www.bva.at,01/01/20,28/03/2020,
K113,Sonderkrankenanstalt  Onkologische Rehabilitation - Der Sonnberghof,,47.77233,16.32394,Hartiggasse,4,7202,Bad Sauerbrunn,AT,Austria,,121,,,,,,02625 300,,http://www.dersonnberghof.at,01/01/20,28/03/2020,
K114,Sonderkrankenanstalt für neurologische Rehabilitation Kittsee,,48.09219,17.06688,Spitalgasse,1,2421,Kittsee,AT,Austria,,100,,,,,,02143 30100 0,,http://neuroreha-kittsee.at,01/01/20,28/03/2020,
K201,Krankenhaus des Deutschen Ordens Friesach GmbH,,46.94779,14.41049,St. Veiter Straße,12,9360,Friesach,AT,Austria,,167,,,,,AN,04268 2691 0,,http://www.dokh.at,01/01/20,28/03/2020,
K204,Gailtal-Klinik Hermagor,,46.62923,13.3708,Radnigerstraße,12,9620,Hermagor,AT,Austria,,42,,,,,,04282 2220 0,,http://www.gailtal-klinik.at,01/01/20,28/03/2020,
K205,Klinikum - Klagenfurt am Wörthersee (LKH Klagenfurt),,46.63675607026466,14.308367964213128,Feschnigstraße,11,9020,Klagenfurt am Wörthersee,AT,Austria,,1165,,,,,"AN, IM, KIJU, NCH, NEU",0463 538 0,,http://www.lkh-klu.at,01/01/20,28/03/2020,
K206,Krankenhaus der Elisabethinen Klagenfurt GmbH,,46.62588,14.31615,Völkermarkter Straße,15-19,9020,Klagenfurt am Wörthersee,AT,Austria,,155,,,,,GEM,0463 5830,,http://www.ekh.at,01/01/20,28/03/2020,
K207,Unfallkrankenhaus Klagenfurt,,46.61814560296913,14.295424915126423,Waidmannsdorfer Straße,35,9020,Klagenfurt am Wörthersee,AT,Austria,,100,,,,,,05 9393 4600,,http://www.auva.at/ukhklagenfurt,01/01/20,28/03/2020,
K211,Abteilung für chronische Kranke im Klinikum Klagenfurt am Wörthersee,,46.63675607026466,14.308367964213128,Feschnigstraße,11,9020,Klagenfurt am Wörthersee,AT,Austria,,83,,,,,,0463 538,,http://www.lkh-klu.at,01/01/20,28/03/2020,
K212,Privatklinik Maria Hilf Klagenfurt,,46.62772,14.29645,Radetzkystraße,35,9020,Klagenfurt am Wörthersee,AT,Austria,,160,,,,,,0463 5885 0,,http://www.humanomed.at,01/01/20,28/03/2020,
K213,Landeskrankenhaus Laas,,46.69954,12.98908,Laas,39,9640,Kötschach-Mauthen,AT,Austria,,66,,,,,IM,04715 7701 0,,http://www.lkh-laas.at,01/01/20,28/03/2020,
K214,Krankenhaus der Barmherzigen Brüder St. Veit/Glan,,46.76909,14.35341,Spitalgasse,26,9300,St. Veit an der Glan,AT,Austria,,166,,,,,AN,04212 499 0,,http://www.bbstveit.at,01/01/20,28/03/2020,
K215,Krankenhaus Spittal/Drau,,46.80183,13.49071,Billrothstraße,1,9800,Spittal an der Drau,AT,Austria,,231,,,,,AN,04762 622 0,,http://www.khspittal.com,01/01/20,28/03/2020,
K216,Landeskrankenhaus Villach,,46.61541,13.85849,Nikolaigasse,43,9500,Villach,AT,Austria,,625,,,,,"AN, IM, KIJU",04242 208 0,,http://www.lkh-vil.or.at,01/01/20,28/03/2020,
K217,Abteilung für chronisch Kranke im Landeskrankenhaus Villach,,46.61541,13.85849,Nikolaigasse,43,9500,Villach,AT,Austria,,26,,,,,,04242 208 62290,,http://www.lkh-vil.or.at,01/01/20,28/03/2020,
K218,Krankenhaus Waiern,,46.73342,14.08682,Martin-Luther-Straße,14,9560,Feldkirchen in Kärnten,AT,Austria,,56,,,,,,04276 2201,,http://www.diakonie-kaernten.at/de-84.cms,01/01/20,28/03/2020,
K219,Landeskrankenhaus Wolfsberg,,46.83239,14.84858,Paul Hackhoferstraße,9,9400,Wolfsberg,AT,Austria,,229,,,,,AN,04352 533 0,,http://www.lkh-wo.at,01/01/20,28/03/2020,
K220,Abteilung für chronische Kranke und Zentrum für Lymphologie im Landeskrankenhaus Wolfsberg,,46.83239,14.84858,Paul Hackhoferstraße,9,9400,Wolfsberg,AT,Austria,,90,,,,,,04352 533 0,,http://www.lkh-wo.at,01/01/20,28/03/2020,
K222,Sonderkrankenanstalt de La Tour,,46.67953,13.84463,De la Tour Straße,28,9521,Treffen,AT,Austria,,56,,,,,,04248 2557 0,,http://www.diakonie-kaernten.at/de-86.cms,01/01/20,28/03/2020,
K223,Privatklinik Villach,,46.59427,13.82646,Dr. Walter Hochsteiner-Straße,4,9504,Villach-Warmbad Villach,AT,Austria,,152,,,,,,04242 3044 0,,http://www.privatklinik-villach.at,01/01/20,28/03/2020,
K224,Interdisziplinäre Sonderkrankenanstalt für Rehabilitation,,46.87469,14.4923,Moorweg,30,9330,Treibach-Althofen,AT,Austria,,435,,,,,,04262 2071 0,,http://www.humanomed.at/privatklinik-althofen/,01/01/20,28/03/2020,
K225,Sonderkrankenanstalt  Die Schrothkur Obervellach,,46.92781066894531,13.235426902770996,Johann-Schroth-Weg,137,9821,Obervellach,AT,Austria,,30,,,,,,04782 2043,,http://www.schrothkur.at,01/01/20,28/03/2020,
K226,Abteilung für chronisch Kranke im Landeskrankenhaus Laas,,46.69954,12.98908,Laas,39,9640,Kötschach-Mauthen,AT,Austria,,50,,,,,,04715 7701 704,,http://www.lkh-laas.at,01/01/20,28/03/2020,
K228,Sonderkrankenanstalt für Orthopädie und orthopädische Chirurgie Warmbad-Villach,,46.5885,13.83077,Kumpfallee,91,9504,Villach-Warmbad Villach,AT,Austria,,0,,,,,,04242 300 6 00,,http://www.med-warmbad.at/orthopaedie,01/01/20,28/03/2020,
K229,Rehabilitationsklinik für seelische Gesundheit und Prävention,,46.63594,14.29653,Grete-Bittner-Straße,40,9020,Klagenfurt am Wörthersee,AT,Austria,,95,,,,,,0463 43 00 07,,http://www.seelischereha.com,01/01/20,28/03/2020,
K230,Sonderkrankenanstalt für medizinische Rehabilitation Thermenhof,,46.58791,13.83044,Kumpfallee,93,9504,Villach-Warmbad Villach,AT,Austria,,238,,,,,,04242 3001 4099,,http://www.med-warmbad.at,01/01/20,28/03/2020,
