id,hospital_name,site_name,lat,lon,geo_qual,street,house_number,postcode,city,cc,country,cap_beds,cap_prac,cap_rooms,emergency,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date,comments
0,"Γ.Ν.Θ. ""ΙΠΠΟΚΡΑΤΕΙΟ""",,40.61111068725586,22.95820426940918,-1,ΚΩΝΣΤ/ΠΟΛΕΩΣ,49,546 42,ΘΕΣΣΑΛΟΝΙΚΗ,EL,Greece,,,,,,,,2313312000,manager@ippokratio.gr,http://www.ippokratio.gr/,15/04/2020,16/04/2020,
1,Π.Γ.Ν.Θ. ΑΧΕΠΑ,,40.630088806152344,22.965045928955078,-1,ΣΤΙΛΠΩΝΟΣ ΚΥΡΙΑΚΙΔΗ ,1,546 36,ΘΕΣΣΑΛΟΝΙΚΗ,EL,Greece,,,,,,,,"2313 303110, 2313 303111, 2313 303310",ahepahos@med.auth.gr,http://www.ahepahosp.gr/,15/04/2020,16/04/2020,
2,"Γ.Ν.Θ. ""ΑΓΙΟΣ ΠΑΥΛΟΣ""",,40.58034,22.96715,-1,ΕΘΝ. ΑΝΤΙΣΤΑΣΕΩΣ,161,551 34,ΘΕΣΣΑΛΟΝΙΚΗ,EL,Greece,,,,,,,,2313304400,info@agpavlos.gr,http://www.agpavlos.gr/,15/04/2020,16/04/2020,
3,"Α.Ν.Θ. ""ΘΕΑΓΕΝΕΙΟ""",,39.34743881225586,22.57126808166504,-1,ΑΛΕΞ. ΣΥΜΕΩΝΙΔΗ,2,540 07,ΘΕΣΣΑΛΟΝΙΚΗ,EL,Greece,,,,,,,,2313301111,theagen@otenet.gr,http://www.theagenio.gov.gr/,15/04/2020,16/04/2020,
4,Γ.Ν. ΧΑΛΚΙΔΙΚΗΣ,,40.38537,23.44287,-1,Ιπποκράτους,5,63100,ΠΟΛΥΓΥΡΟΣ,EL,Greece,,,,,,,,2371350100,gnx@1157.syzefxis.gov.gr,http://www.hospitalchalkidiki.gr/,15/04/2020,16/04/2020,
5,Γ.Ν. ΚΙΛΚΙΣ,,40.98983,22.86946,-1,ΝΟΣΟΚΟΜΕΙΟΥ,1,611 00,ΚΙΛΚΙΣ,EL,Greece,,,,,,,,2341351400,info@ghkilkis.gr, https://ghkilkis.gr,15/04/2020,16/04/2020,
6,Γ.Ν. ΚΙΛΚΙΣ-ΚΥ ΓΟΥΜΕΝΙΣΣΑΣ,,39.34743881225586,22.57126808166504,-1,ΜΑΥΡΟΠΟΥΛΟΥ,9,61300,ΓΟΥΜΕΝΙΣΣΑ,EL,Greece,,,,,,,,2343350300,nosogoum@otenet.gr,,15/04/2020,16/04/2020,
7,Γ.Ν. ΣΕΡΡΩΝ,,41.08878,23.59839,-1,ΣΕΡΡΩΝ-ΔΡΑΜΑΣ,2ο,621 00,ΣΕΡΡΕΣ,EL,Greece,,,,,,,,"2321094500, 2321351500",gnserres@hospser.gr,http://www.hospser.gr/,15/04/2020,16/04/2020,
8,Γ.Ν. ΔΡΑΜΑΣ,,41.15429,24.14594,-1,ΙΠΠΟΚΡΑΤΟΥΣ ΤΕΡΜΑ,,66100,ΔΡΑΜΑ,EL,Greece,,,,,,,,"2521350400, 2521023351",grammateia.ceo@dramahospital.gr,http://www.dramahospital.gr/,15/04/2020,16/04/2020,
9,Γ.Ν. ΚΑΒΑΛΑΣ,,41.0066032409668,24.373577117919922,-1,ΑΓΙΟΣ ΣΙΛΑΣ,,655 00,ΚΑΒΑΛΑ,EL,Greece,,,,,,,,2513501100,Φόρμα Επικοινωνίας,http://www.kavalahospital.gr,15/04/2020,16/04/2020,
10,Γ.Ν. ΞΑΝΘΗΣ,,41.18964767456055,24.979759216308594,-1,ΝΕΑΠΟΛΗ,,67100,ΞΑΝΘΗ,EL,Greece,,,,,,,,2541351100,contact_us@hosp-xanthi.gr,http://www.hosp-xanthi.gr/,15/04/2020,16/04/2020,
