id,hospital_name,site_name,lat,lon,geo_qual,street,house_number,postcode,city,cc,country,cap_beds,cap_prac,cap_rooms,emergency,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date,comments
1052,Mohácsi Kórház,,45.99777,18.68168,1,Szepessy tér,7,7700,Mohács,HU,Hungary,300,,,,,,,69-511-150,,,01/02/2020,16/04/2020,
2912,Pécsi Tudományegyetem,,46.07366,18.23841,1,Vasvári Pál u.,4,7622,Pécs,HU,Hungary,1625,,,,,,,72-533105,,,01/02/2020,16/04/2020,
A316,Siklósi Kórház Humán-Egészségügyi Szolgáltató Közhasznú Nonprofit Kft.,,45.84788,18.29716,1,Baross Gábor u.,6,7800,Siklós,HU,Hungary,125,,,,,,,72-352-411,,,01/02/2020,16/04/2020,
C353,URO-CLIN Egészségügyi Szolgáltató és Kereskedelmi Kft.,,46.07574,18.22972,1,Perczel Miklós u. 11/A. fszt.,2,7621,Pécs,HU,Hungary,0,,,,,,,72-210461,,,01/02/2020,16/04/2020,
H770,Harkányi Termál Rehabilitációs Centrum Közhasznú Nonprofit Kft.,,45.85022,18.23969,1,Zsigmondy sétány,1,7815,Harkány,HU,Hungary,302,,,,,,,72-580-900,,,01/02/2020,16/04/2020,
N584,"Komlói Egészségcentrum, Bányászati Utókezelő és Éjjeli Szanatórium Egészségügyi Központ",,46.18873,18.27212,1,Majális tér,1,7300,Komló,HU,Hungary,166,,,,,,,72-582340,,,01/02/2020,16/04/2020,
N591,Szigetvári Kórház,,46.05438,17.78747,1,Szent István ltp.,7,7900,Szigetvár,HU,Hungary,416,,,,,,,73-500511,,,01/02/2020,16/04/2020,
1084,Bajai Szent Rókus Kórház,,46.17464,18.95948,1,Rókus u.,10,6500,Baja,HU,Hungary,559,,,,,,,79-422-233,,,01/02/2020,16/04/2020,
1122,Bács-Kiskun Megyei Kórház,,46.91034486228824,19.67520641239157,1,Nyíri út,38,6000,Kecskemét,HU,Hungary,1799,,,,,,,76-516-700,,,01/02/2020,16/04/2020,
N590,Kiskunhalasi Semmelweis Kórház,,46.43262,19.47233,1,Dr. Monszpart L. u.,1,6400,Kiskunhalas,HU,Hungary,535,,,,,,,77-522000,,,01/02/2020,16/04/2020,
1243,Orosházi Kórház,,46.55972,20.65915,1,Könd u.,59,5900,Orosháza,HU,Hungary,408,,,,,,,68-411166,,,01/02/2020,16/04/2020,
R464,Békés Megyei Központi Kórház,,46.64016,21.27734,1,Semmelweis utca,1,5700,Gyula,HU,Hungary,1971,,,,,,,66-526526,,,01/02/2020,16/04/2020,
