id,hospital_name,site_name,lat,lon,geo_qual,street,house_number,postcode,city,cc,country,cap_beds,cap_prac,cap_rooms,emergency,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date
1,KLINIČKI BOLNIČKI CENTAR ZAGREB,,45.81921,15.98549,1,ŠALATA,2,10000,ZAGREB,HR,Croatia,,,,,,,,01/2368-987,,,22/09/2017,15/04/2020
2,KLINIČKI BOLNIČKI CENTAR RIJEKA,,45.3322297305,14.427349756,2,KREŠIMIROVA,42,51000,RIJEKA,HR,Croatia,,,,,,,,051/658-111,,,22/09/2017,15/04/2020
3,KLINIČKI BOLNIČKI CENTAR SPLIT,,43.5037512235,16.4584116639,2,SPINČIĆEVA,1,21000,SPLIT,HR,Croatia,,,,,,,,021/556-111,,,22/09/2017,15/04/2020
4,KLINIČKI BOLNIČKI CENTAR SESTRE MILOSRDNICE,,45.8160040053,15.9519103441,2,VINOGRADSKACESTA,29,10000,ZAGREB,HR,Croatia,,,,,,,,01/3787-111,,,22/09/2017,15/04/2020
5,KLINIČKI BOLNIČKI CENTAR OSIJEK,,45.5583777858,18.7139524984,2,JHUTTLERA,4,31000,OSIJEK,HR,Croatia,,,,,,,,031/511-511,,,22/09/2017,15/04/2020
6,KLINIČKA BOLNICA DUBRAVA,,45.83439,16.03459,1,AVENIJAGOJKAŠUŠKA,6,10000,ZAGREB,HR,Croatia,,,,,,,,01/2902-444,,,22/09/2017,15/04/2020
7,KLINIČKA BOLNICA MERKUR,,45.8204751447,15.9974867692,2,ZAJČEVA,19,10000,ZAGREB,HR,Croatia,,,,,,,,01/2431-390,,,22/09/2017,15/04/2020
8,KLINIČKA  BOLNICA SVETI DUH,,45.81985,15.93903,1,SVETIDUH,64,10000,ZAGREB,HR,Croatia,,,,,,,,01/3712-111,,,22/09/2017,15/04/2020
9,KLINIKA ZA ORTOPEDIJU LOVRAN,,45.29907,14.27837,1,ŠETALIŠTEMARŠALATITA,1,51415,LOVRAN,HR,Croatia,,,,,,,,051/710-201,,,22/09/2017,15/04/2020
10,KLINIKA ZA INFEKTIVNE BOLESTI DR. FRAN MIHALJEVIĆ,,45.8304764739,15.980897028,2,MIROGOJSKA,8,10000,ZAGREB,HR,Croatia,,,,,,,,01/2826-222,,,22/09/2017,15/04/2020
11,KLINIKA ZA PSIHIJATRIJU VRAPČE,,45.81587,15.89732,1,BOLNIČKACESTA,32,10000,ZAGREB,HR,Croatia,,,,,,,,01/3780-666,,,22/09/2017,15/04/2020
12,KLINIKA ZA DJEČJE BOLESTI ZAGREB,,45.80978,15.96447,1,KLAIĆEVA,16,10000,ZAGREB,HR,Croatia,,,,,,,,01/4600-111,,,22/09/2017,15/04/2020
13,MAGDALENA - KLINIKA ZA KARDIOVASKULARNE BOLESTI MED.FAKULTETA U OSIJEKU,,46.0931656792,15.8380648856,3,LJUDEVITAGAJA,2,49217,KRAPINSKE TOPLICE,HR,Croatia,,,,,,,,049/244-444,,,22/09/2017,15/04/2020
14,OPĆA BOLNICA DR. IVO PEDIŠIĆ SISAK,,45.4762297405,16.3695706755,2,JJSTROSSMAYERA,59,44000,SISAK,HR,Croatia,,,,,,,,044/553-101,,,22/09/2017,15/04/2020
15,OPĆA BOLNICA KARLOVAC,,45.47776,15.53888,3,DRANDRIJEŠTAMPARA,3,47000,KARLOVAC,HR,Croatia,,,,,,,,047/608-100,,,22/09/2017,15/04/2020
16,OPĆA BOLNICA I BOLNICA BRANITELJA DOMOVINSKOG RADA  OGULIN,,45.2575671576,15.231114127,2,BOLNIČKAULICA,38,47300,OGULIN,HR,Croatia,,,,,,,,047/819-707,,,22/09/2017,15/04/2020
17,OPĆA BOLNICA VARAŽDIN,,46.3030922391,16.3267811578,2,IMEŠTROVIĆABB,,42000,VARAŽDIN,HR,Croatia,,,,,,,,042/393-000,,,22/09/2017,15/04/2020
18,OPĆA BOLNICA DR. TOMISLAV BARDEK KOPRIVNICA,,46.1627126661,16.837805861,2,ULŽELJKASELINGERABB,,48000,KOPRIVNICA,HR,Croatia,,,,,,,,048/251-001,,,22/09/2017,15/04/2020
19,OPĆA BOLNICA BJELOVAR,,45.9019406001,16.8471783212,2,MIHANOVIĆEVA,8,43000,BJELOVAR,HR,Croatia,,,,,,,,043/279-222 (247),,,22/09/2017,15/04/2020
20,OPĆA BOLNICA GOSPIĆ,,44.54373,15.36239,1,KANIŠKA,111,53000,GOSPIĆ,HR,Croatia,,,,,,,,053/572 433,,,22/09/2017,15/04/2020
21,OPĆA BOLNICA VIROVITICA,,45.82863,17.38872,1,LJUDEVITAGAJA,21,33000,VIROVITICA,HR,Croatia,,,,,,,,033/747-444,,,22/09/2017,15/04/2020
