id,hospital_name,site_name,lat,lon,geo_qual,street,house_number,postcode,city,cc,country,cap_beds,cap_prac,cap_rooms,emergency,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date,comments
06774857000000,"Vividus East, s.r.o.",,50.440076843665,15.810711092746,1,Spojených národù,857,54401,Dvùr Králové nad Labem,CZ,Czech Republic,,,,,Léèebna pro dlouhodobì nemocné (LDN),,,,,,01/04/2020,17/04/2020,
26001551001000,"Oblastní nemocnice Jièín a.s., Nemocnice Nový Bydžov",,50.24280976846,15.482349667068,1,Jana Maláta,493,50401,Nový Bydžov,CZ,Czech Republic,,,,,Nemocnice,,,493582111,nemjc@nemjc.cz,http://www.nemjc.cz,01/04/2020,17/04/2020,
00844853001000,"Nemocnice s poliklinikou Karviná-Ráj, pøíspìvková organizace, pracovištì Orlová",,49.875652765657,18.434819904726,1,Masarykova tøída,900,73514,Orlová,CZ,Czech Republic,,,,,Nemocnice,,"Samostatná ordinace PL - gynekologa, Samostatné zaøízení fyzioterapeuta, Samostatná odborná laboratoø",596383111,nspka@nspka.cz,http://nspka.cz,01/04/2020,17/04/2020,
26000202012000,"Oblastní nemocnice Náchod a.s., Nemocnice Broumov",,50.580978103633,16.333881651842,1,Smetanova,91,55001,Broumov,CZ,Czech Republic,,,,,Nemocnice,,,,,http://www.nemocnicenachod.cz,01/04/2020,17/04/2020,
26000202011000,"Oblastní nemocnice Náchod a.s., Nemocnice následné péèe a LDN Jaromìø",,50.357216409104,15.906452987138,1,Národní,84,55101,Jaromìø,CZ,Czech Republic,,,,,Nemocnice následné péèe,,,,,http://www.nemocnicenachod.cz,01/04/2020,17/04/2020,
26000202010000,"Oblastní nemocnice Náchod a.s., Nemocnice Nové Mìsto nad Metují",,50.359016632765,16.149240745551,1,T. G. Masaryka,367,54901,Nové Mìsto nad Metují,CZ,Czech Republic,,,,,Nemocnice,,,,,http://www.nemocnicenachod.cz,01/04/2020,17/04/2020,
05327296000001,Chronicare Mund s.r.o.,,49.185627872324,16.596913496359,1,Polní,553/3,63900,Brno,CZ,Czech Republic,,,,,Nemocnice následné péèe,,,,sekretariat@chronicaregroup.cz,,01/04/2020,17/04/2020,
27283933005000,"Krajská nemocnice Liberec, a.s., Nemocnice Frýdlant",,50.925690686018,15.087472724806,1,V Úvoze,860,46401,Frýdlant,CZ,Czech Republic,,,,,Nemocnice následné péèe,,Zaøízení LPS,485 311 111,nemlib@nemlib.cz,http://www.nemlib.cz,01/04/2020,17/04/2020,
45250022000002,Gerontologické centrum,,50.129775073105,14.448432856972,1,Benákova,1100/6,18200,Praha 8,CZ,Czech Republic,,,,,Nemocnice následné péèe,,,286883676,petr.prochazka@gerontocentrum.cz,http://www.gerontocentrum.cz,01/04/2020,17/04/2020,
45250022000000,Gerontologické centrum,,50.134095378778,14.471257910891,1,Šimùnkova,1600/5,18200,Praha 8,CZ,Czech Republic,,,,,Nemocnice následné péèe,,,286883676,petr.prochazka@gerontocentrum.cz,http://www.gerontocentrum.cz,01/04/2020,17/04/2020,
