id,hospital_name,site_name,lat,lon,geo_qual,street,house_number,postcode,city,cc,country,cap_beds,cap_prac,cap_rooms,emergency,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date,comments
972149519,ALERIS ROSENBORGKLINIKKEN,PRIVATE BEHANDLINGSSTEDER,63.4107,10.40516,2,"LERKENDAL STADION INNGANG 5, 2.ETG ODD IVERSENS VEG",2,7031,TRONDHEIM,NO,Norway,,,,,,private,,73 95 45 50,,https://helsenorge.no/velg-behandlingssted/ventetider-for-behandlingssted?orgnr=972149519,01/01/2020,16/04/2020,
975296407,"AKERSHUS UNIVERSITETSSYKEHUS, BUP FURUSET",AKERSHUS UNIVERSITETSSYKEHUS HF,59.912288665771484,10.75,1,FURUSET SENTER INNGANG C 3 ETASJE TRYGVE LIES PLASS,1,1051,OSLO,NO,Norway,,,,,,public,,23 17 65 00,,https://helsenorge.no/velg-behandlingssted/ventetider-for-behandlingssted?orgnr=975296407,01/01/2020,16/04/2020,
812519042,"AKERSHUS UNIVERSITETSSYKEHUS, ARA, ELVESTAD DØGN",AKERSHUS UNIVERSITETSSYKEHUS HF,60.1015,11.43662,1,NEDRE HAGAVEG,303,2150,ÅRNES,NO,Norway,,,,,,public,,63 90 00 96,,https://helsenorge.no/velg-behandlingssted/ventetider-for-behandlingssted?orgnr=812519042,01/01/2020,16/04/2020,
812876082,"SYKEHUSET ØSTFOLD, DPS MOSS VOKSENPSYKIATRISK POLIKLINIKK",SYKEHUSET ØSTFOLD HF,59.44868,10.69671,1,PEER GYNTS VEI,72,1535,MOSS,NO,Norway,,,,,,public,,69 86 00 00,,https://helsenorge.no/velg-behandlingssted/ventetider-for-behandlingssted?orgnr=812876082,01/01/2020,16/04/2020,
813381192,ALERIS STAVANGER,PRIVATE BEHANDLINGSSTEDER,58.91491,5.72937,1,JÅTTAVÅGVEIEN,7,4020,STAVANGER,NO,Norway,,,,,,private,,51577550,,https://helsenorge.no/velg-behandlingssted/ventetider-for-behandlingssted?orgnr=813381192,01/01/2020,16/04/2020,
813961962,"VESTRE VIKEN, DRAMMEN DPS, RUSPOLIKLINIKK",VESTRE VIKEN HF,59.74807,10.19135,1,HAUGES GATE,89A,3019,DRAMMEN,NO,Norway,,,,,,public,,32 86 17 00,,https://helsenorge.no/velg-behandlingssted/ventetider-for-behandlingssted?orgnr=813961962,01/01/2020,16/04/2020,
817178782,"MEDI 3 RINGVOLL KLINIKKEN, HOBØL",PRIVATE BEHANDLINGSSTEDER,59.55859,10.84489,1,RINGVOLL SENTER,,1827,HOBØL,NO,Norway,,,,,,private,,69924333,,https://helsenorge.no/velg-behandlingssted/ventetider-for-behandlingssted?orgnr=817178782,01/01/2020,16/04/2020,
817363482,MESTRINGSHUSENE AVD. NOTODDEN,PRIVATE BEHANDLINGSSTEDER,59.72414,9.27415,1,FOLLSJØVEGEN,1276,3680,NOTODDEN,NO,Norway,,,,,,private,,35019500,,https://helsenorge.no/velg-behandlingssted/ventetider-for-behandlingssted?orgnr=817363482,01/01/2020,16/04/2020,
821847052,"UNN, STORSLETT",UNIVERSITETSSYKEHUSET NORD-NORGE HF,69.76639,21.0358,1,SONJATUNVEGEN,21,9151,STORSLETT,NO,Norway,,,,,,public,,,,https://helsenorge.no/velg-behandlingssted/ventetider-for-behandlingssted?orgnr=821847052,01/01/2020,16/04/2020,
822354262,"FORUSAKUTTEN, STAVANGER",PRIVATE BEHANDLINGSSTEDER,58.96658,5.73096,1,OLAV VS GATE,11,4005,STAVANGER,NO,Norway,,,,,,private,,52 69 69 69,,https://helsenorge.no/velg-behandlingssted/ventetider-for-behandlingssted?orgnr=822354262,01/01/2020,16/04/2020,
823731302,"OSLO UNIVERSITETSSYKEHUS, PSYKISK HELSE BARN OG UNGE, ULLEVÅL",OSLO UNIVERSITETSSYKEHUS HF,59.93694,10.73706,1,KIRKEVEIEN,166,0450,OSLO,NO,Norway,,,,,,public,,,,https://helsenorge.no/velg-behandlingssted/ventetider-for-behandlingssted?orgnr=823731302,01/01/2020,16/04/2020,
871615322,UNILABS RØNTGEN FREDRIKSTAD,PRIVATE BEHANDLINGSSTEDER,59.21182,10.92735,1,JENS WILHELMSENS GATE,1,1671,KRÅKERØY,NO,Norway,,,,,,private,,21 00 08 00,,https://helsenorge.no/velg-behandlingssted/ventetider-for-behandlingssted?orgnr=871615322,01/01/2020,16/04/2020,
871815402,UNICARE HOKKSUND,PRIVATE BEHANDLINGSSTEDER,59.76592,9.91615,1,LOESMOVEIEN,79,3300,HOKKSUND,NO,Norway,,,,,,private,,32 25 32 00,,https://helsenorge.no/velg-behandlingssted/ventetider-for-behandlingssted?orgnr=871815402,01/01/2020,16/04/2020,
