id,hospital_name,site_name,lat,lon,geo_qual,street,house_number,postcode,city,cc,country,cap_beds,cap_prac,cap_rooms,emergency,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date
1,Walton Community Hospital - Virgin Care Services Ltd,,51.37999725,-0.406042069,-1,,,KT12 3LD,Walton-on-Thames,UK,United Kingdom,,,,,Hospital,private,,1932414205,,,,30/03/2020
2,Woking Community Hospital (Virgin Care),,51.31513214,-0.556289494,-1,,,GU22 7HS,Woking,UK,United Kingdom,,,,,Hospital,private,,1483715911,,,,30/03/2020
3,North Somerset Community Hospital,,51.43719482,-2.847192764,-1,,,BS21 6BS,Clevedon,UK,United Kingdom,,,,,Hospital,public,,1275872212,,http://www.nscphealth.co.uk,,30/03/2020
4,Bridgewater Hospital,,53.4597435,-2.245468855,-1,,,M15 5AT,Manchester,UK,United Kingdom,,,,,Hospital,private,,1612270000,,www.bridgewaterhospital.com,,30/03/2020
5,Kneesworth House,,52.07812119,-3.06E-02,-1,,,SG8 5JP,Royston,UK,United Kingdom,,,,,Hospital,private,,1763255700,reception_kneesworthhouse@partnershipsincare.co.uk,www.partnershipsincare.co.uk,,30/03/2020
6,Stockton Hall Hospital,,53.99539185,-1.002552867,-1,,,YO32 9UN,York,UK,United Kingdom,,,,,Hospital,private,,1904400500,info@priorygroup.com,https://www.priorygroup.com/stockton-hall,,30/03/2020
7,"Fryatt Hospital, Harwich",,51.9346962,1.261444092,-1,,,CO12 4EX,Harwich,UK,United Kingdom,,,,,Hospital,private,,1255201200,,,,30/03/2020
8,Clacton Hospital,,51.78607941,1.148187518,-1,,,CO15 1LH,Clacton,UK,United Kingdom,,,,,Hospital,private,,1255201717,,https://www.esneft.nhs.uk/your-visit/our-wards/clacton-hospital/,,30/03/2020
9,Lakeside Hospital,,52.19832611,-0.31028071,-1,,,MK44 3AS,Bedford,UK,United Kingdom,,,,,Hospital,private,,,,,,30/03/2020
10,Orthopaedics and Spine Specialist Hospital,,52.60494232,-0.283021808,-1,,,PE3 8YA,Peterborough,UK,United Kingdom,,,,,Hospital,private,,1733333156,info@orthospine.co.uk,,,30/03/2020
11,Lee Mill Hospital,,50.38948441,-3.959660053,-1,,,PL21 9HL,Plymouth,UK,United Kingdom,,,,,Hospital,private,,1752314800,,,,30/03/2020
12,Mount Gould Hospital,,50.37840271,-4.112740517,-1,,,PL4 7QD,Plymouth,UK,United Kingdom,,,,,Hospital,private,,1752268011,,https://www.livewellsouthwest.co.uk/,,30/03/2020
13,"Nuffield Health, Bournemouth Hospital",,50.73041916,-1.870926738,-1,,,BH1 1RW,Bournemouth,UK,United Kingdom,,,,,Hospital,private,,8000155020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/individuals/centres/b/bournemouth/,,30/03/2020
14,"Nuffield Health, Brentwood Hospital",,51.62333298,0.312835306,-1,,,CM15 8EH,Brentwood,UK,United Kingdom,,,,,Hospital,private,,8000155020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/brentwoodhospital,,30/03/2020
15,"Nuffield Health, Brighton Hospital",,50.83451843,-8.19E-02,-1,,,BN2 6DX,Brighton,UK,United Kingdom,,,,,Hospital,private,,8000155020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/brightonhospital,,30/03/2020
16,"Nuffield Health, Bristol Hospital (Chesterfield)",,51.45360947,-2.61598444,-1,,,BS8 1BN,Bristol,UK,United Kingdom,,,,,Hospital,private,,8000155020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/hospitals/bristol,,30/03/2020
17,"Nuffield Health, Cambridge Hospital",,52.19035339,0.123558596,-1,,,CB2 8AF,Cambridge,UK,United Kingdom,,,,,Hospital,private,,8000155020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/cambridgehospital,,30/03/2020
18,"Nuffield Health, The Grosvenor Hospital, Chester",,53.17634583,-2.895246744,-1,,,CH4 7QP,Chester,UK,United Kingdom,,,,,Hospital,private,,8000155020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/thegrosvenorhospitalchester,,30/03/2020
19,"Nuffield Health, Cheltenham Hospital",,51.89192963,-2.129905462,-1,,,GL51 6SY,Cheltenham,UK,United Kingdom,,,,,Hospital,private,,8000155020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/cheltenhamhospital,,30/03/2020
20,"Nuffield Health, Chichester Hospital",,50.8479805,-0.780013144,-1,,,PO19 6WB,Chichester,UK,United Kingdom,,,,,Hospital,private,,8000155020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/chichesterhospital,,30/03/2020
21,"Nuffield Health, Derby Hospital",,52.89355087,-1.530155182,-1,,,DE23 4SN,Derby,UK,United Kingdom,,,,,Hospital,private,,8000155020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/derbyhospital,,30/03/2020
22,"Nuffield Health, Wessex Hospital",,50.99697495,-1.35935092,-1,,,SO53 2DW,Eastleigh,UK,United Kingdom,,,,,Hospital,private,,8000155020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/hospitals/wessex,,30/03/2020
23,"Nuffield Health, Exeter Hospital",,50.71631622,-3.511271715,-1,,,EX2 4UG,Exeter,UK,United Kingdom,,,,,Hospital,private,,8000155020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/exeterhospital,,30/03/2020
24,"Nuffield Health, Guildford Hospital",,51.24165344,-0.612543583,-1,,,GU2 7RF,Guildford,UK,United Kingdom,,,,,Hospital,private,,1483555800,,http://www.nuffieldhealth.com/guildfordhospital,,30/03/2020
25,"Nuffield Health, Haywards Heath Hospital",,51.00840378,-0.106121421,-1,,,RH16 1UD,Haywards Heath,UK,United Kingdom,,,,,Hospital,private,,8000155020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/haywards-heathhospital,,30/03/2020
26,"Nuffield Health, Hereford Hospital",,52.06393814,-2.69995451,-1,,,HR1 1DF,Hereford,UK,United Kingdom,,,,,Hospital,private,,1432355131,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/herefordhospital,,30/03/2020
27,"Nuffield Health, Ipswich Hospital",,52.04751968,1.228945851,-1,,,IP4 5SW,Ipswich,UK,United Kingdom,,,,,Hospital,private,,8000155020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/ipswichhospital,,30/03/2020
