id,hospital_name,site_name,lat,lon,geo_qual,street,house_number,postcode,city,cc,country,cap_beds,cap_prac,cap_rooms,emergency,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date,comments
00078/20/2017,Uniwersytecki Szpital Kliniczny w Białymstoku,,53.12585,23.1616,1,M. Curie-Skłodowskiej,24A,15-276,Białystok,PL,Poland,,,,,,,,85 83 18 328,sor.usk@poczta-usk.pl,,29/03/2020,16/04/2020,
00001/30/2017,WIELOSPECJALISTYCZNY SZPITAL MIEJSKI IM. JÓZEFA STRUSIA Z ZAKŁADEM OPIEKUŃCZO - LECZNICZYM. SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ Z SIEDZIBĄ W POZNANIU PRZY UL. SZWAJCARSKIEJ 3.,,52.38957,16.99503,1,Szwajcarska,3,61-285,Poznań-Nowe Miasto - Poznań,PL,Poland,,,,,,,,618739000,dyrekcja@szpital-strusia.poznan.pl,,29/03/2020,16/04/2020,
00002/30/2017,SZPITAL POWIATOWY IM. PROF. ROMANA DREWSA,,52.9879,16.91478,1,Stefana Żeromskiego,29,64-800,Chodzież,PL,Poland,,,,,,,,67 2826700,szpitalpowiatowy@chodziez.pl,,29/03/2020,16/04/2020,
00004/30/2017,ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W CZARNKOWIE,,52.89721,16.55618,1,Kościuszki,96,64-700,Czarnków,PL,Poland,,,,,,,,67 3528170,sekretariat@zzozczarnkow.x.pl,,29/03/2020,16/04/2020,
00005/30/2017,SZPITAL POMNIK CHRZTU POLSKI,,52.53842,17.59733,1,św. Jana,9,62-200,Gniezno,PL,Poland,,,,,,,,61 2228300,poczta@zoz.gniezno.pl,,29/03/2020,16/04/2020,
00008/30/2017,"WOJEWÓDZKI SZPITAL DLA NERWOWO I PSYCHICZNIE CHORYCH ""DZIEKANKA""",,52.53325,17.57718,1,Poznańska,15,62-200,Gniezno,PL,Poland,,,,,,,,61 4238500,sekretariat@dziekanka.net,,29/03/2020,16/04/2020,
00011/30/2017,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W GOSTYNIU,,51.88272,17.01073,1,Karola Marcinkowskiego,8,63-800,Gostyń,PL,Poland,,,,,,,,65 5726700,szpital.gostyn@gmail.com,,29/03/2020,16/04/2020,
00012/30/2017,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ,,52.22818,16.36863,2,Mossego,17,62-065,Grodzisk Wielkopolski,PL,Poland,,,,,,,,61 4445523,szpital@spzoz-grodzisk.pl,,29/03/2020,16/04/2020,
00013/30/2017,'SZPITAL POWIATOWY W JAROCINIE' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,51.96958,17.50462,1,Szpitalna,1,63-200,Jarocin,PL,Poland,,,,,,,,62 3322350,sekretariat@szpitaljarocin.pl,,29/03/2020,16/04/2020,
00017/30/2017,WOJEWÓDZKI SZPITAL ZESPOLONY IM.LUDWIKA PERZYNY W KALISZU,,51.76421,18.06588,1,Poznańska,79,62-800,Kalisz,PL,Poland,,,,,,,,62 7651356,sekretariat@szpital.kalisz.pl,,29/03/2020,16/04/2020,
