id,hospital_name,site_name,lat,lon,geo_qual,street,house_number,postcode,city,cc,country,cap_beds,cap_prac,cap_rooms,emergency,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date,comments
20016,ŠPECIALIZOVANÁ GERIATRICKÁ NEMOCNICA PODUNAJSKÉ BISKUPICE,,48.1245,17.20739,1,KRAJINSKÁ 91,,82556,BRATISLAVA,SK,Slovakia,,,,,,,,0918 660 660,,,01/01/2020,26/10/2020,
20017,UNIVERZITNÁ NEMOCNICA BRATISLAVA - KRAMÁRE - NEMOCNICA AKADEMIKA LADISLAVA DÉRERA,,48.16754,17.08778,1,LIMBOVA 5,,833 05,BRATISLAVA,SK,Slovakia,,,,,,,,02 59541 111,,,01/01/2020,26/10/2020,
20018,UNIVERZITNÁ NEMOCNICA BRATISLAVA - STARÉ MESTO,,48.1505,17.11694,1,MICKIEWICZOVA 13,,81369,BRATISLAVA,SK,Slovakia,,,,,,,,02 57290 111,,,01/01/2020,26/10/2020,
20068,VŠEOBECNÁ NEMOCNICA ŠAĽA,,48.15161,17.87153,1,NEMOCNIČNÁ 1,,92719,ŠAĽA,SK,Slovakia,,,,,,,,031 7730 320,,,01/01/2020,26/10/2020,
20071,"NEMOCNICA DR. VOJTECHA ALEXANDRA V KEŽMARKU, NEZISKOVÁ ORGANIZÁCIA",,49.13179,20.42167,1,HUNCOVSKÁ 42,,06001,KEŽMAROK,SK,Slovakia,,,,,,,,,,,01/01/2020,26/10/2020,
20074,FNSP BRATISLAVA PRACOVISKO PEZINOK,,48.3165,17.25557,1,MALACKÁ CESTA 63,,90201,PEZINOK,SK,Slovakia,,,,,,,,,,,01/01/2020,26/10/2020,
20082,"NSP BANSKÁ ŠTIAVNICA - MESTSKÁ NEMOCNICA, N.O.",,48.45407,18.91756,1,BRATSKÁ 17,,96901,BANSKÁ ŠTIAVNICA,SK,Slovakia,,,,,,,,045 6912 316,,,01/01/2020,26/10/2020,
20090,"NSP GELNICA - NEMOCNICA S POLIKLINIKOU GELNICA PRO VITAE, N.O.",,48.85656,20.93439,1,NEMOCNIČNÁ 33,,05601,GELNICA,SK,Slovakia,,,,,,,,053 4821 444 - 9,,,01/01/2020,26/10/2020,
20092,NSP HLOHOVEC,,48.42474,17.78902,1,NÁBR.A.HLINKU 27,,92001,HLOHOVEC,SK,Slovakia,,,,,,,,,,,01/01/2020,26/10/2020,
20093,NSP HNÚŠŤA,,48.5655,19.95524,2,J.JESENSKÉHO 102,,98101,HNÚŠŤA,SK,Slovakia,,,,,,,,,,,01/01/2020,26/10/2020,
20097,NSP KREMNICA,,48.7001,18.91535,1,DOLNÁ 49/21,,96701,KREMNICA,SK,Slovakia,,,,,,,,,,,01/01/2020,26/10/2020,
20101,NSP LEVICE,,48.22132,18.61014,1,29.AUGUSTA 2,,93401,LEVICE,SK,Slovakia,,,,,,,,,,,01/01/2020,26/10/2020,
20104,NSP LUČENEC,,48.32964,19.66035,1,NÁM.REPUBLIKY 14,,98401,LUČENEC,SK,Slovakia,,,,,,,,,,,01/01/2020,26/10/2020,
20105,"NSP MALACKY - NEMOCNIČNÁ, A.S.",,48.44083,17.03374,1,DUKLIANSKYCH HRDINOV 34,,90122,MALACKY,SK,Slovakia,,,,,,,,+421 34 28 29 700,,,01/01/2020,26/10/2020,
20106,"NEMOCNICA S POLIKLINIKOU MEDZILABORCE, N. O.",,49.27001,21.90694,1,KOMENSKÉHO 134/4,,06814,MEDZILABORCE,SK,Slovakia,,,,,,,,,,,01/01/2020,26/10/2020,
20109,NSP NOVÁ BAŇA,,48.41774,18.64226,1,CINTORÍNSKA 21,,96801,NOVÁ BAŇA,SK,Slovakia,,,,,,,,045 6855 041,,,01/01/2020,26/10/2020,
20110,NSP NOVÉ MESTO N/VÁHOM,,48.82183,17.7661,2,ŠTEFÁNIKOVA 1,,91501,NOVÉ MESTO NAD VÁHOM,SK,Slovakia,,,,,,,,,,,01/01/2020,26/10/2020,
20112,NSP PARTIZÁNSKE - NEMOCNICA S POLIKLINIKOU N.O. PARTIZÁNSKE,,48.62949,18.35178,2,NOVÁ NEMOCNICA 511,,95814,PARTIZÁNSKE,SK,Slovakia,,,,,,,,038 7492  201,,,01/01/2020,26/10/2020,
