id,hospital_name,site_name,lat,lon,geo_qual,street,house_number,postcode,city,cc,country,cap_beds,cap_prac,cap_rooms,emergency,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date,comments
10000024,CENTRE HOSPITALIER DE BOURG-EN-BRESSE FLEYRIAT,,46.2222,5.20879,1,ROUTE DE PARIS,900,01440,VIRIAT,FR,France,,,,,Centre Hospitalier (C.H.),public,,474454647,,,06/03/2020,16/04/2020,
10000032,CENTRE HOSPITALIER DE BELLEY,,45.76121,5.68498,1,RUE GEORGES GIRERD,52,01300,BELLEY,FR,France,,,,,Centre Hospitalier (C.H.),public,,479425959,,,06/03/2020,16/04/2020,
10000065,CENTRE HOSPITALIER DE TREVOUX - MONTPENSIER,,45.9410175,4.7718113,1,RUE DE L'HOPITAL,14,01606,TREVOUX,FR,France,,,,,Centre Hospitalier (C.H.),public,,474105000,,,06/03/2020,16/04/2020,
10000081,CENTRE HOSPITALIER DU PAYS DE GEX,,46.3223,6.05781,1,RUE MARC PANISSOD,160,01174,GEX,FR,France,,,,,"Centre hospitalier, ex Hôpital local",public,,450403838,,,06/03/2020,16/04/2020,
10000099,CENTRE HOSPITALIER DE MEXIMIEUX,,45.90669,5.1947,1,AVENUE DU DOCTEUR BOYER,13,01800,MEXIMIEUX,FR,France,,,,,"Centre hospitalier, ex Hôpital local",public,,474610177,,,06/03/2020,16/04/2020,
10000107,CENTRE HOSPITALIER DE PONT DE VAUX,,46.43285,4.94664,1,CHEMIN DES NIVRES,,01190,PONT DE VAUX,FR,France,,,,,"Centre hospitalier, ex Hôpital local",public,,385308000,,,06/03/2020,16/04/2020,
10000115,CH INTERCOMMUNAL AIN VAL DE SAONE - PONT DE VEYLE,,46.2634,4.89012,1,RUE PIERRE GOUJON,,01290,PONT DE VEYLE,FR,France,,,,,Centre Hospitalier (C.H.),public,,385362350,,,06/03/2020,16/04/2020,
10000131,CH INTERCOMMUNAL AIN VAL DE SAONE - THOISSEY,,46.17227,4.80419,1,RUE DE L HOPITAL,11,01140,THOISSEY,FR,France,,,,,Centre Hospitalier (C.H.),public,,474049900,,,06/03/2020,16/04/2020,
10000180,CENTRE HOSPITALIER PUBLIC DE HAUTEVILLE - UNITE ESPERANCE,,45.97781,5.607,1,AVENUE FELIX MANGINI,,01110,HAUTEVILLE LOMPNES,FR,France,,,,,Centre Hospitalier (C.H.),public,,474408250,,,06/03/2020,16/04/2020,
10000198,CENTRE HOSPITALIER PUBLIC DE HAUTEVILLE - UNITE INTERDEPT,,45.97781,5.607,1,AVENUE FELIX MANGINI,,01110,HAUTEVILLE LOMPNES,FR,France,,,,,Centre Hospitalier (C.H.),public,,474408165,,,06/03/2020,16/04/2020,
10000214,CENTRE HOSPITALIER PUBLIC DE HAUTEVILLE - UNITE ALBARINE,,45.97781,5.607,1,AVENUE FELIX MANGINI,,01110,HAUTEVILLE LOMPNES,FR,France,,,,,Centre Hospitalier (C.H.),public,,474408169,,,06/03/2020,16/04/2020,
10000495,CENTRE PSYCHOTHERAPIQUE DE L'AIN,,46.22066,5.22822,1,AVENUE DE MARBOZ,,01012,BOURG EN BRESSE,FR,France,,,,,Centre Hospitalier Spécialisé lutte Maladies Mentales,private,,474522911,,,06/03/2020,16/04/2020,
10002129,CLINIQUE DE READAPTATION LES ARBELLES,,46.19407,5.23232,1,RUE LEOPOLD LE HON,554,01000,BOURG EN BRESSE,FR,France,,,,,Etablissement de santé privé autorisé en SSR,,,474255151,,,06/03/2020,16/04/2020,
