Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Pakļautība,Iestādes veids,Iestādes tips,Tālrunis,E-pasts,Adrese,Direktors,Bērnu skaits vecumā līdz 5 gadu vecumam,Bērnu skaits vecumā 5 gadi un vairāk
AGLONAS NOVADS,4201900395,Aglonas novada pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65322451,bernudarzs@aglona.lv,"JAUDZEMU IELA 7a, AGLONA, AGLONAS PAGASTS, AGLONAS NOVADS, LV-5304",VALENTĪNA MIHAILOVA,39,29
AIZKRAUKLES NOVADS,4501901768,"Aizkraukles pilsētas pirmsskolas izglītības iestāde ""Auseklītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65121105,auseklitis@aizkraukle.lv,"SPRĪDĪŠA IELA 3, AIZKRAUKLE, AIZKRAUKLES NOVADS, LV-5101",INTA VĪBERGA,107,79
AIZKRAUKLES NOVADS,4501901773,"Aizkraukles pilsētas pirmsskolas izglītības iestāde ""Zīlīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65122610,zilite@aizkraukle.lv,"BĒRZU IELA 10, AIZKRAUKLE, AIZKRAUKLES NOVADS, LV-5101",LIGITA NEIJA,131,82
AIZKRAUKLES NOVADS,4501903388,"Aizkraukles pilsētas pirmsskolas izglītības iestāde ""Saulīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65123955, 29298620",saulite@aizkraukle.lv,"ZIEMEĻU IELA 1, AIZKRAUKLE, AIZKRAUKLES NOVADS, LV-5101",SARMĪTE KRUGLOVA,29,31
AIZPUTES NOVADS,4101901752,"Kazdangas pirmsskolas izglītības iestāde ""Ezītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63449908,ezitis@aizpute.lv,"LIEPU GATVE 6, KAZDANGA, KAZDANGAS PAGASTS, AIZPUTES NOVADS, LV-3457",ILGA BLOKA,18,20
AIZPUTES NOVADS,4101901754,"Cīravas pirmsskolas izglītības iestāde ""Pīlādzītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63448708,bernudarzspiladzitis@inbox.lv,"""Bērnudārzs"", CĪRAVA, CĪRAVAS PAGASTS, AIZPUTES NOVADS, LV-3453",IVETA LAUMANE,27,24
AIZPUTES NOVADS,4101901761,"Aizputes pirmsskolas izglītības iestāde ""Pasaciņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63449087,aizpute.pasacina@inbox.lv,"ZVAIGŽŅU IELA 6, AIZPUTE, AIZPUTES NOVADS, LV-3456",ANTRA APINE,156,50
AKNĪSTES NOVADS,4501900305,"Aknīstes novada pašvaldības pirmsskolas izglītības iestāde ""Bitīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65236603,pii_bitite@inbox.lv,"SKOLAS IELA 16A, AKNĪSTE, AKNĪSTES NOVADS, LV-5208",RIMA BLUDZE,46,34
ALOJAS NOVADS,4301900542,"Alojas pilsētas pirmsskolas izglītības iestāde ""Auseklītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"64031258, 26386729",auseklitis@aloja.lv,"PARKA IELA 13, ALOJA, ALOJAS NOVADS, LV-4064",SARMĪTE FREIMANE,83,57
ALSUNGAS NOVADS,4101901410,"Alsungas pirmsskolas izglītības iestāde ""Miķelītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63351382,alsungasbn@inbox.lv,"SKOLAS IELA 16a, ALSUNGA, ALSUNGAS NOVADS, LV-3306",ALETA LIPSNE,37,22
ALŪKSNES NOVADS,4401901481,"Alūksnes pirmsskolas izglītības iestāde ""Sprīdītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64323910,spriditis@aluksne.lv,"RAIŅA BULVĀRIS 5, ALŪKSNE, ALŪKSNES NOVADS, LV-4301",MODRĪTE VOSKA,127,88
ALŪKSNES NOVADS,4401901484,"Alsviķu pirmsskolas izglītības iestāde ""Saulīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64354145,saulite@aluksne.lv,"Saulīte, ALSVIĶI, ALSVIĶU PAGASTS, ALŪKSNES NOVADS, LV-4333",VIOLA LĀCE,28,14
ALŪKSNES NOVADS,4401901485,"Jaunalūksnes pirmsskolas izglītības iestāde ""Pūcīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64354009,pucite@aluksne.lv,"Pūcītes, KOLBERĢIS, JAUNALŪKSNES PAGASTS, ALŪKSNES NOVADS, LV-4350",LIGITA BELOVA,26,15
ALŪKSNES NOVADS,4401901486,"Alūksnes pirmsskolas izglītības iestāde ""Pienenīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64322530,pienenite@aluksne.lv,"HELĒNAS IELA 32, ALŪKSNE, ALŪKSNES NOVADS, LV-4301",INGŪNA DOVGĀNE,75,66
ALŪKSNES NOVADS,4401903404,"Alūksnes pirmsskolas izglītības iestāde ""Cālis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64322143,calis@aluksne.lv,"LIELĀ EZERA IELA 7, ALŪKSNE, ALŪKSNES NOVADS, LV-4301",AGITA PAKALNIETE,31,18
ALŪKSNES NOVADS,4401903405,"Malienas pirmsskolas izglītības iestāde ""Mazputniņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64354314,mazputnins@aluksne.lv,"""Mazputniņš"", BRENCI, MALIENAS PAGASTS, ALŪKSNES NOVADS, LV-4359",IEVIŅA ĀBOLTIŅA,19,26
