Nosaukums,Reģistrācijas numurs,Juridiskais status,Vadītājs,Filiāļu skaits,Strukturvienību skaits,Veids,Tips,Faktiskais dibinātājs,Deklarētais dibinātājs,Likvidēta,Adrese,Tālrunis,E-pasts
"""1 1 1 A neformālās izglītības iestāde""","3380802199","Juridiskā vai fiziskā persona ","MAREKS SPRŪŽS",0,0,"Pieaugušo neformālās izglītības iestāde","Pieaugušo neformālās izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Dialogs AB""","Sabiedrība ar ierobežotu atbildību ""Dialogs AB""",Nē,"MURJĀŅU IELA 1A, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1024","67432343, 29408456","info@dialogs-ab.lv"
"""1 1 A SOLLERTIA neformālās izglītības iestāde""","4380802201","Komercsabiedrības struktūrvienība","MAREKS SPRŪŽS",0,0,"Pieaugušo neformālās izglītības iestāde","Pieaugušo neformālās izglītības iestāde","""1 1 A SOLLERTIA"" SIA","""1 1 A SOLLERTIA"" SIA",Nē,"RIČU IELA 6, SIGUĻI, CARNIKAVAS NOVADS, LV-2163","29408456","info@sollertia.lv"
"""A.D.Streem"" mācību centrs","2760800906","Komercsabiedrības struktūrvienība","ALEKSANDRS DAVIDĀNS",0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""A.D.Streem""","Sabiedrība ar ierobežotu atbildību ""A.D.Streem""",Nē,"18. NOVEMBRA IELA 104a, DAUGAVPILS, LV-5404","26297087","adstreem@inbox.lv"
"""HOTEL SCHOOL"" Viesnīcu biznesa koledža","3347802926","Komercsabiedrība",,0,0,"Augstākās izglītības iestāde","Koledža","Jūlija Pasnaka","Jūlija Pasnaka",Nē,"SMILŠU IELA 3, CENTRA RAJONS, RĪGA, LV-1050","67213037","info@hotelschool.lv"
"""IZGLĪTĪBAS CENTRS PROFEKTIS"" profesionālās pilnveides un tālākizglītības iestāde","3360802002","Komercsabiedrības struktūrvienība","AINĀRS STIKUTS",0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","""PROFEKTIS"" SIA","""PROFEKTIS"" SIA",Nē,"VIESTURA PROSPEKTS 33 k-1 - 57, ZIEMEĻU RAJONS, RĪGA, LV-1005","27707252,26544773","icprofektis@inbox.lv"
"""Klusuma skolas"" pieaugušo neformālās izglītības iestāde","4380802258","Biedrības struktūrvienība","IVO STRANTE",0,0,"Pieaugušo neformālās izglītības iestāde","Pieaugušo neformālās izglītības iestāde","""Klusuma skola""","""Klusuma skola""",Nē,"LAMBERTU IELA 34, MĀRUPE, MĀRUPES NOVADS, LV-2167","27111718","strante@gmail.com"
"""Komplekss Citadele"" SIA Profesionālo Studiju Skola ""Citadele""","3060800104","Komercsabiedrības struktūrvienība","JOLANTA ZĀLMANSONE",0,3,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","""Komplekss Citadele"" SIA","""Komplekss Citadele"" SIA",Nē,"GRAUDU IELA 40 - 1, LIEPĀJA, LV-3401","27728855, 63428855, 67528855, 29528855","info@skolacitadele.lv"
"""Latvijas Pašvaldību mācību centrs""","3360800184","Biedrība","GUNITA RAKĒVIČA",0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Rīgas Dome, Valmieras pilsētas pašvaldība, Jūrmalas pilsētas Dome, Liepājas pilsētas Dome, Ventspils pilsētas Dome, Latvijas Pašvaldību savienība, Alūksnes novada pašvaldība, Krustpils novada pašvaldība, Madonas novada pašvaldība, Ērgļu novada pašvaldība, Bauskas novada pašvaldība, Inčukalna novada Dome, Jaunpils novada Dome, Ogres novada Dome, Pāvilostas novada pašvaldība, Strenču novada Dome, Talsu novada Dome, Akciju sabiedrība ""Latvijas valsts meži""","Rīgas Dome, Jūrmalas pilsētas Dome, Liepājas pilsētas Dome, Ogres novada Dome, Ventspils pilsētas Dome, Valmieras pilsētas Dome, Latvijas Pašvaldību savienība, Pāvilostas novada Dome, Talsu novada Dome, Madonas novada Dome, Jaunpils novada Dome, Strenču novada Dome, Alūksnes novada pašvaldība, Krustpils novada pašvaldība, Madonas novada pašvaldība, Bauskas novada Dome, Ērgļu novada pašvaldība, Alūksnes novada Dome, Bauskas novada pašvaldība, Inčukalna novada Dome, Talsu novada Dome, Akciju sabiedrība ""Latvijas valsts meži""",Nē,"BIĶERNIEKU IELA 4, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039","67551217 ","lpmc@lpmc.lv"
"""Liepājas Līvupes pamatskola - attīstības centrs""","3024903267","Pastarpinātās pārvaldes iestāde","SARMĪTE SIDOROVA",0,0,"Speciālās izglītības iestāde","Internātskola - attīstības centrs","Liepājas pilsētas Dome","Liepājas pilsētas Dome",Nē,"ULIHA IELA 56, LIEPĀJA, LV-3401","63422874","livupe@liepaja.edu.lv"
"""Mācību centrs Liepa""","3360800447","Komercsabiedrības struktūrvienība","JĀNIS DANCIS",0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","SIA ""Mācību centrs Liepa""","SIA ""Mācību centrs Liepa""",Nē,"BRASLAS IELA 24C, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1035","67552522","liepa@mcliepa.lv"
"""MĀCĪBU CENTRS"" SIA","2560800035","Komercsabiedrība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Anita Bedrīte","Anita Bedrīte",Nē,"CĒSU IELA 20, VALMIERA, LV-4201","64223559  29426161","anita.bedrite@inbox.lv"
"""Narmadas Tautskola""","4480802232","Biedrības struktūrvienība","ANDA PĒKŠĒNA",0,0,"Pieaugušo neformālās izglītības iestāde","Pieaugušo neformālās izglītības iestāde","Straupes pilsētas atdzimšanas biedrība","Straupes pilsētas atdzimšanas biedrība",Nē,"""Valdaines"", STRAUPES PAGASTS, PĀRGAUJAS NOVADS, LV-4152","26189503","info@narmadastautskola.lv"
"""PĀRSLA-APSARDZE"" mācību centrs","3360800760","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""PĀRSLA-APSARDZE""","Sabiedrība ar ierobežotu atbildību ""PĀRSLA-APSARDZE""",Nē,"MASKAVAS IELA 322d, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063","67132571","apsardze@apollo.lv"
"""Ritma Institūts"" privātā mūzikas skola","3351802586","Komercsabiedrības struktūrvienība",,0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""TERCS""","Sabiedrība ar ierobežotu atbildību ""TERCS""",Nē,"ĀRAIŠU IELA 34, RĪGA, LV-1039","26433491","info@ritmainstituts.lv"
"""SAFEWORK"" mācību centrs","3360800848","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","SIA ""GRIF"" filiāle ""SAFEWORK.LV""","SIA ""GRIF"" filiāle ""SAFEWORK.LV""",Nē,"MASKAVAS IELA 361, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063","67187661","das@grif.lv"
"0 1 A FORTŪNA SIA","3360800733","Komercsabiedrība","ALEKSANDRS VOROBJOVS",0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Aleksandrs Vorobjovs","Aleksandrs Vorobjovs",Nē,"MERĶEĻA IELA 17/19 - 3, CENTRA RAJONS, RĪGA, LV-1050","29230037","vorobjovs@fortuna.lv"
"A/s ""Datorzinību centrs"" Mācību centrs","3360800438","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","A/s ""Datorzinību centrs""","A/s ""Datorzinību centrs""",Nē,"LĀČPLĒŠA IELA 11, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1011","67338366","kursi@dzc.lv"
"A/s ""Mācību komercfirma""","3360800060","Komercsabiedrība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""GRANT-M""","Sabiedrība ar ierobežotu atbildību ""GRANT-M""",Nē,"VISVALŽA IELA 6, RĪGA, LV-1050","67288468","mkf@mkf.riga.lv"
"A/s ""Rīgas siltums"" Mācību centrs","3760800021","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","A/s ""Rīgas siltums""","A/s ""Rīgas siltums""",Nē,"CĒSU IELA 3a, RĪGA, LV-1012","67017230","valdis.varavs@rs.lv"
