Nr. p. k.,Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Pakļautība,Iestādes veids,Iestādes tips,Adrese,Epasts,Tālrunis,Direktors,Bērnu skaits pirmsskolas programmās,Izglītojamo skaits 1. - 12. klasē
1,AGLONAS NOVADS,4212902579,Priežmalas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 6, PRIEŽMALE, KASTUĻINAS PAGASTS, AGLONAS NOVADS, LV-5685",priezmala@inbox.lv,29368192,SANDRA RAKOVA,17,38
2,AGLONAS NOVADS,4213800388,Aglonas Katoļu ģimnāzija,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ALOĪZA BROKA IELA 8, AGLONA, AGLONAS PAGASTS, AGLONAS NOVADS, LV-5304",aglonaskatgim@pvg.edu.lv,29377165,ANITA PLACINSKA,0,31
3,AGLONAS NOVADS,4213900381,Aglonas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"DAUGAVPILS IELA 6, AGLONA, AGLONAS PAGASTS, AGLONAS NOVADS, LV-5304",aglonasvsk@pvg.edu.lv,65321373,LIDIJA ŠATILOVA,0,164
4,AIZKRAUKLES NOVADS,4511900989,Aizkraukles pagasta sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"KALNA IELA 6, AIZKRAUKLE, AIZKRAUKLES PAGASTS, AIZKRAUKLES NOVADS, LV-5101",aps@aizkraukle.lv,"65128285, 26113790",JANĪNA ZOLOTORENKO,36,76
5,AIZKRAUKLES NOVADS,4513903124,Aizkraukles novada vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"LĀČPLĒŠA IELA 21, AIZKRAUKLE, AIZKRAUKLES NOVADS, LV-5101",vidusskola@aizkraukle.lv,"28382330, 65122369, 65123228",ALDIS LABINSKIS,0,826
6,AIZPUTES NOVADS,4112901019,Māteru Jura Kazdangas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Kazdangas pamatskola"", KAZDANGA, KAZDANGAS PAGASTS, AIZPUTES NOVADS, LV-3457",skola@kazdanga.lv,63449906,AIJA DREIMANE,0,117
7,AIZPUTES NOVADS,4112901020,Kalvenes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 1, KALVENE, KALVENES PAGASTS, AIZPUTES NOVADS, LV-3443",kalvenesskola@inbox.lv,63497148,SKAIDRĪTE SEGLIŅA,12,72
8,AIZPUTES NOVADS,4112901027,Dzērves pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Dzērves skola"", CĪRAVAS PAGASTS, AIZPUTES NOVADS, LV-3453",dzervespamatskola@inbox.lv,63448697 25416580,MAIROLDS BLŪMS,0,80
9,AIZPUTES NOVADS,4112901031,Aizputes pagasta pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Skola"", ROKASBIRZE, AIZPUTES PAGASTS, AIZPUTES NOVADS, LV-3456",pamatskola@aizpute.lv,20371571,RENĀTE GOLDBERGA,12,88
10,AIZPUTES NOVADS,4113901044,Aizputes vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ZIEDU IELA 7, AIZPUTE, AIZPUTES NOVADS, LV-3456",vidusskola@aizpute.lv,63448251,GUNTA VĪDNERE,43,463
