country,city,street,cap_beds,name,postcode,tel,house_number,id,list_specs,data_year,url,latGISCO,lonGISCO,latBing,lonBing
AT,Bad Tatzmannsdorf,Vogelsangweg,169,Rehabilitationszentrum für Herz-Kreislauferkrankungen Bad Tatzmannsdorf,7431,03353 6000 0,11,K101,,,http://www.ska-badtatzmannsdorf.at,47.3330468,16.2242553,47.331527108287254,16.22262893566035
AT,Eisenstadt,Johannes von Gott-Platz,420,Krankenhaus der Barmherzigen Brüder Eisenstadt,7000,02682 601 0,1,K102,"AN, IM, KIJU",,http://www.barmherzige-brueder.at,0.0,0.0,47.84727,16.51378
AT,Güssing,Grazer Straße,118,Landeskrankenhaus Güssing,7540,05 7979 31000,13,K104,"AN, IM",,http://www.krages.at,47.159349,16.163562,47.049762,16.3212708
AT,Kittsee,Hauptplatz,111,Ladislaus Batthyany-Strattmann Krankenhaus Kittsee,2421,05 7979 35000,3,K105,"AN, IM",,http://www.krages.at,48.09270755,17.0663027184193,48.09289,17.06505
AT,Oberpullendorf,Spitalstraße,138,Landeskrankenhaus Oberpullendorf,7350,05 7979 34000,32,K106,"AN, IM",,http://www.krages.at,47.5073329,16.5086600573201,47.50727,16.50939
AT,Oberwart,Dornburggasse,338,Landeskrankenhaus Oberwart,7400,05 7979 32000,80,K107,"AN, IM, KIJU",,http://www.krages.at,47.2802638,16.2035387,47.27995,16.20347
AT,St. Andrä am Zicksee,Otto-Pohanka-Platz,140,Orthopädisches Klinikum SKA Zicksee,7161,02176 2325,,K109,,,http://www.kobvskazicksee.at,0.0,0.0,47.79147,16.9144
AT,Rust,Baumgartenstraße,12,Heilpädagogisches Zentrum Rust,7071,05 7979 21000,15a,K111,,,http://www.psd-bgld.at,0.0,0.0,47.8016,16.66597
AT,Bad Tatzmannsdorf,Am Kurpark,105,Therapiezentrum Rosalienhof -  Bad Tatzmannsdorf,7431,03353 8387 0,1,K112,,,http://www.bva.at,47.33706595,16.2280907404241,47.33702,16.22791
AT,Bad Sauerbrunn,Hartiggasse,121,Sonderkrankenanstalt  Onkologische Rehabilitation - Der Sonnberghof,7202,02625 300,4,K113,,,http://www.dersonnberghof.at,47.7721772,16.3249976,47.77233,16.32394
AT,Kittsee,Spitalgasse,100,Sonderkrankenanstalt für neurologische Rehabilitation Kittsee,2421,02143 30100 0,1,K114,,,http://neuroreha-kittsee.at,48.09235215,17.0664117299582,48.09219,17.06688
AT,Friesach,St. Veiter Straße,167,Krankenhaus des Deutschen Ordens Friesach GmbH,9360,04268 2691 0,12,K201,AN,,http://www.dokh.at,46.9483654,14.4096152,46.94779,14.41049
AT,Hermagor,Radnigerstraße,42,Gailtal-Klinik Hermagor,9620,04282 2220 0,12,K204,,,http://www.gailtal-klinik.at,46.6292262,13.3708128,46.62923,13.3708
AT,Klagenfurt am Wörthersee,Feschnigstraße,1165,Klinikum - Klagenfurt am Wörthersee (LKH Klagenfurt),9020,0463 538 0,11,K205,"AN, IM, KIJU, NCH, NEU",,http://www.lkh-klu.at,46.6342442,14.3073104,46.63675607026466,14.308367964213128
