cc,country,city,street,postcode,house_number,lon,id,lat,name,facility_type,ref_date,site_name,emergency,cap_beds,cap_prac,cap_rooms,public_private,list_specs,tel,email,url,pub_date
DE,Germany,Warendorf,Am Krankenhaus,48231,2,8.002352893336,771077,51.960420529706,Josephs-Hospital Warendorf,standort,2020,,,,,,,,,,,
DE,Germany,Zerbst/Anhalt,Friedrich-Naumann-Straße,39261,53,12.09354137759,771770,51.960538935624,Hauptstandort,standort,2020,,,,,,,,,,,
DE,Germany,Witten,Pferdebachstraße,58455,27,7.343875944598,771997,51.445604014753,Evangelisches Krankenhaus Witten gGmbH,standort,2020,,,,,,,,,,,
DE,Germany,Hannover,Bischofsholer Damm,30173,160,9.777482271129,772573,52.362268389496,Sophienklinik GmbH,standort,2020,,,,,,,,,,,
DE,Germany,Duisburg,Großenbaumer Allee,47249,250,6.785428762469,773308,51.380675639817,BG Klinikum Duisburg gGmbH,standort,2020,,,,,,,,,,,
DE,Germany,Murnau am Staffelsee,Prof.-Küntscher-Straße,82418,8,11.219773683697,773597,47.671590022337,Klinikum Garmisch-Partenkirchen Standort Murnau,standort,2020,,,,,,,,,,,
DE,Germany,Garmisch-Partenkirchen,Auenstraße,82467,6,11.127636015399,773617,47.483929564176,Klinikum Garmisch-Partenkirchen,standort,2020,,,,,,,,,,,
DE,Germany,Osterholz-Scharmbeck,Am Krankenhaus,27711,4,8.793386220932,771364,53.23344318708,Kreiskrankenhaus Osterholz,standort,2020,,,,,,,,,,,
DE,Germany,"Winterberg, Westfalen",Franziskusstraße,59955,2,8.5381085872,772118,51.193310232526,St. Franziskus-Hospital Winterberg gGmbH,standort,2020,,,,,,,,,,,
DE,Germany,Erfurt,Nordhäuser Straße,99089,74,11.011598825553,771835,50.994088107174,Helios Klinikum Erfurt GmbH,standort,2020,,,,,,,,,,,
DE,Germany,Dortmund,Marsbruchstraße,44287,162a,7.547493696147,772303,51.503072843858,LWL-Klinik Dortmund - Elisabeth-Klinik - Kinder- und Jugendpsychiatrie Psychotherapie · Psychosomatik,standort,2020,,,,,,,,,,,
DE,Germany,Dortmund,Beurhausstraße,44137,47,7.455439746363,772304,51.509104715874,LWL-Tagesklinik Dortmund  Kinder- und Jugendpsychiatrie · Psychosomatik,standort,2020,,,,,,,,,,,
DE,Germany,"Hamm, Westfalen",Am Heessener Wald,59073,1,7.841748386613,772561,51.708239818582,St. Barbara Klinik Hamm-Heessen,standort,2020,,,,,,,,,,,
DE,Germany,"Hamm, Westfalen",Albert-Struck-Str.,59075,1,7.762981832011,772562,51.698388463495,St. Josef-Krankenhaus Hamm-Bockum-Hövel,standort,2020,,,,,,,,,,,
DE,Germany,Konstanz,Luisenstraße,78464,9a,9.185561120494,772963,47.671732707494,Hauptstandort Herz-Zentrum,standort,2020,,,,,,,,,,,
DE,Germany,Bad Berleburg,An der Gontardslust,57319,7,8.402625381873,771727,51.060568548166,VAMED Klinik Bad Berleburg,standort,2020,,,,,,,,,,,
DE,Germany,Schwelm,Dr.-Moeller-Straße,58332,15,7.311882555468,771535,51.293446626116,Helios Klinikum Schwelm,standort,2020,,,,,,,,,,,
DE,Germany,Köln,Graseggerstr.,50737,105,6.923839330698,772936,50.992215873468,Hauptstandort,standort,2020,,,,,,,,,,,
DE,Germany,Hamburg,Martinistraße,20251,52,9.974761963022,773675,53.589913025365,Hauptstandort,standort,2020,,,,,,,,,,,
DE,Germany,Hamburg,Bernhard-Nocht-Straße,20359,74,9.965663910043,773676,53.546943961731,Bernhard-Nocht-Institut,standort,2020,,,,,,,,,,,
DE,Germany,Koblenz am Rhein,Koblenzer Straße,56073,157b,7.559179544514,772586,50.350807367331,Johanniter Tagesklinik Koblenz,standort,2020,,,,,,,,,,,
DE,Germany,Bielefeld,Kiskerstrassse,33615,26,8.523210525709,773289,52.023233817794,Franziskus Hospital,standort,2020,,,,,,,,,,,
DE,Germany,Herford,Renntormauer,32052,1-3,8.675173759657,773290,52.112178478842,Mathilden Hospital,standort,2020,,,,,,,,,,,
DE,Germany,Rheda-Wiedenbrück,St.-Vinzenz-Straße,33378,1,8.330376863578,773291,51.833002974089,Sankt Vinzenz Hospital,standort,2020,,,,,,,,,,,
DE,Germany,Köln,Alteburger Straße,50678,8-12,6.961371481402,771063,50.922022744784,Tagesklinik Alteburger Straße gGmbH,standort,2020,,,,,,,,,,,
DE,Germany,Essen,Virchowstraße,45147,174,6.986943125758,771539,51.433783520247,"Virchowstraße 174, 45147 Essen",standort,2020,,,,,,,,,,,
DE,Germany,Essen,Wickenburgstraße,45147,21,6.969621419939,771540,51.440003454576,"Wickenburgstraße 21, 45147 Essen",standort,2020,,,,,,,,,,,
DE,Germany,Essen,Overbergstraße,45141,27,7.012279272112,771541,51.472229876166,"Overbergstraße 27, 45141 Essen",standort,2020,,,,,,,,,,,
DE,Germany,Mülheim an der Ruhr,Düsseldorfer Straße,45481,136-138,6.870079278979,771542,51.408088895493,"Düsseldorfer Straße 136-138, 45481 Mülheim an der Ruhr",standort,2020,,,,,,,,,,,
DE,Germany,Siegen,Kampenstraße,57072,51,8.030419528468,772061,50.879455893095,St. Marien-Krankenhaus Siegen,standort,2020,,,,,,,,,,,
DE,Germany,Bad Orb,Spessartstraße,63619,20,9.354513466342,772966,50.216243891937,MediClin Reha-Zentrum Bad Orb,standort,2020,,,,,,,,,,,
DE,Germany,Dießen am Ammersee,Klosterhof,86911,20,11.096890282461,773665,47.947182357075,Hauptstandort,standort,2020,,,,,,,,,,,
DE,Germany,Viernheim,Seegartenstraße,68519,4,8.575010418908,771922,49.536069595531,Krankenhaus,standort,2020,,,,,,,,,,,
DE,Germany,Speyer,Holzstraße,67346,4A,8.421648941003,772863,49.315695817169,Hauptstandort,standort,2020,,,,,,,,,,,
DE,Germany,Geldern,Clemensstraße,47608,6,6.327309285953,773026,51.528499725763,St.-Clemens-Hospital,standort,2020,,,,,,,,,,,
DE,Germany,"Heide, Holst",Neue Anlage,25746,18,9.093926668102,773333,54.19221696234,"Psychiatrische Tagesklinik Heide, Brücke Schleswig-Holstein gGmbH",standort,2020,,,,,,,,,,,
DE,Germany,"Heide, Holst",Neue Anlage,25746,18,9.093926668102,773334,54.192267179086,"Psychiatrische Institutsambulanz Heide, Brücke Schleswig-Holstein gGmbH",standort,2020,,,,,,,,,,,
DE,Germany,"Langenhagen, Han",Oertzeweg,30851,24,9.757717609536,771849,52.434121822202,Paracelsus-Klinik am Silbersee,standort,2020,,,,,,,,,,,
DE,Germany,"Simmern, Hunsrück",Holzbacher Straße,55469,1,7.517382698134,772202,49.980434681353,"Hunsrück Klinik, kreuznacher diakonie",standort,2020,,,,,,,,,,,
DE,Germany,"Varel, Jadebusen",Bleichenpfad,26316,9,8.139644443972,771998,53.392550366892,St. Johannes Hospital,standort,2020,,,,,,,,,,,
DE,Germany,Warstein,Hospitalstr.,59581,3-7,8.355967283233,772614,51.44174889685,Krankenhaus Maria Hilf GmbH,standort,2020,,,,,,,,,,,
DE,Germany,Dresden,Wintergartenstraße,01307,15/17,13.761893731153,771043,51.047260729446,Krankenhaus St. Joseph-Stift Dresden,standort,2020,,,,,,,,,,,
DE,Germany,Bernau am Chiemsee,Rasthausstraße,83233,25,12.389730691975,771163,47.834088760404,Standort,standort,2020,,,,,,,,,,,
DE,Germany,Kiel,Steenbeker Weg,24106,25,10.116285771123,771994,54.353174510392,Lubinus Clinicum,standort,2020,,,,,,,,,,,
DE,Germany,Kiel,Königsweg,24103,8,10.127381131049,771993,54.316855314927,Sankt Elisabeth Krankenhaus Kiel,standort,2020,,,,,,,,,,,
DE,Germany,Wuppertal,Bergstr.,42105,6 -12,7.143887758239,771563,51.260170938981,Krankenhaus St. Josef,standort,2020,,,,,,,,,,,
DE,Germany,Wuppertal,Vogelsangstraße,42109,106,7.142563820016,771564,51.274514722201,St. Anna-Klinik,standort,2020,,,,,,,,,,,
DE,Germany,Wuppertal,Carnaper Str.,42283,48,7.191768407756,771562,51.275534912024,Petrus-Krankenhaus,standort,2020,,,,,,,,,,,
DE,Germany,Telgte,Am Rochus-Hospital,48291,1,7.764253199084,771846,51.977963140494,Hauptstandort Telgte,standort,2020,,,,,,,,,,,
DE,Germany,Warendorf,Von-Ketteler-Straße,48231,39,7.97716145217,771845,51.947335528808,Tagesklinik Warendorf,standort,2020,,,,,,,,,,,
DE,Germany,"Ahlen, Westfalen",Parkstraße,59227,49,7.883884951468,771844,51.769618002432,Tagesklinik Ahlen,standort,2020,,,,,,,,,,,
